id,windows,car,lights,gas,convience,sdpd,lampdist,lat,lon,crime
2012_79389,10,8,3,631,1371,4,14.14,32.7204186388,-117.16112321700001,ROBBERY
2012_79724,0,5,3,497,497,854,20.0,32.7496602682,-117.10661813200001,ROBBERY
2012_79915,0,8,0,533,2419,3573,41.23,32.7115810836,-117.065473294,ROBBERY
2011_79981,0,5,8,446,196,1370,10.0,32.7574356424,-117.082138703,ROBBERY
2011_80071,0,7,2,430,20,1888,14.14,32.7497529276,-117.117744119,ROBBERY
2012_80081,0,5,1,293,460,953,10.0,32.7518713145,-117.162977184,ROBBERY
2011_80210,0,9,2,83,1042,3770,20.0,32.7046621191,-117.084725548,ROBBERY
2012_80238,0,4,6,565,59,1087,0.0,32.748448369,-117.129830305,ROBBERY
2012_80276,0,6,0,1132,613,6189,100.0,32.7952363854,-117.193595015,ROBBERY
2012_80370,0,4,2,118,118,1443,10.0,32.7011694309,-117.13059694299999,ROBBERY
2011_80399,0,4,0,815,423,2765,28.28,32.7238935512,-117.12546789,ROBBERY
2011_80402,0,7,0,164,164,1189,70.0,32.7970882114,-117.23902219799999,ROBBERY
2011_80601,0,2,2,260,260,2817,10.0,32.7536010401,-117.21143815399999,ROBBERY
2012_80824,8,6,9,922,516,1219,10.0,32.7151827524,-117.159256543,ROBBERY
2011_81112,0,2,1,4897,4206,6635,10.0,32.7720270217,-117.250577621,ROBBERY
2011_81194,0,3,1,2422,176,911,28.28,32.739343231,-117.099938864,ROBBERY
2011_81376,3,4,2,416,547,986,14.14,32.7167647641,-117.15698397,ROBBERY
2011_81397,0,2,0,1089,713,878,22.36,32.8012948023,-117.15930121299999,ROBBERY
2012_81613,0,5,2,144,212,450,40.0,32.7552802478,-117.138205885,ROBBERY
2011_81887,0,8,1,597,630,1760,22.36,32.752396804,-117.11306856700001,ROBBERY
2011_81964,0,5,0,1441,196,4209,60.0,32.7846875088,-117.10954067700001,ROBBERY
2012_82075,0,5,0,1046,1046,1227,22.36,32.569124386700004,-117.07084872899999,ROBBERY
2011_82161,0,5,3,199,484,667,14.14,32.7104521849,-117.14899787,ROBBERY
2012_82245,0,3,2,1131,2912,2621,10.0,32.7114795825,-117.10422005,ROBBERY
2011_82409,0,2,0,556,905,1354,120.0,32.7697391539,-117.167529465,ROBBERY
2012_82710,0,9,1,209,45,3906,56.56,32.8200228127,-117.179056617,ROBBERY
2011_82711,0,4,0,815,423,2765,28.28,32.7238935512,-117.12546789,ROBBERY
2011_82792,0,5,1,2132,1171,2985,30.0,32.7473689693,-117.09048835600001,ROBBERY
2011_83377,0,0,1,765,793,3996,30.0,32.7389830365,-117.173028782,ROBBERY
2012_83549,1,2,1,383,229,3357,50.0,32.7233383838,-117.08493985700001,ROBBERY
2011_83599,0,2,0,60,69,4487,36.05,33.0232422782,-117.07437238799999,ROBBERY
2011_83612,0,4,0,95,95,936,22.36,32.912675484299996,-117.145332649,ROBBERY
2012_83751,2,1,0,76,1134,3862,41.23,32.7036543083,-117.08500044700001,ROBBERY
2011_83775,0,5,1,873,1928,4211,20.0,32.7047798008,-117.07630783399999,ROBBERY
2012_83840,0,5,0,102,102,5383,58.3,32.743470174,-117.211202079,ROBBERY
2011_84174,0,3,3,4191,4795,5495,14.14,32.7687567261,-117.250920596,ROBBERY
2012_84215,0,2,0,956,2701,2867,60.82,32.7125025719,-117.058053088,ROBBERY
2011_84256,0,8,0,257,312,2693,85.44,32.7615434219,-117.06340342600001,ROBBERY
2012_84311,0,3,3,138,208,2969,14.14,32.7849133931,-117.171011656,ROBBERY
2011_84328,1,2,10,780,320,1075,20.0,32.7109871104,-117.15374264799999,ROBBERY
2012_84587,2,4,2,20,20,3383,14.14,32.8092750516,-117.256214163,ROBBERY
2012_85382,0,6,0,540,540,4853,10.0,32.7529983776,-117.216543161,ROBBERY
2012_85392,0,2,3,19,19,1676,14.14,32.748834458299996,-117.12170955799999,ROBBERY
2011_85491,0,6,0,340,370,3813,98.99,32.8203469054,-117.18241876299999,ROBBERY
2012_85630,0,7,1,506,489,5248,60.82,32.8344115744,-117.180715301,ROBBERY
2011_85717,0,4,0,67,67,3113,76.15,32.724014359899996,-117.10796804700001,ROBBERY
2012_85830,0,3,4,1348,401,2783,10.0,32.763262334000004,-117.10890130700001,ROBBERY
2012_85858,0,3,1,203,258,1289,31.62,32.7553630671,-117.097313999,ROBBERY
2012_85872,0,8,2,237,247,1448,14.14,32.7991744796,-117.243619991,ROBBERY
2012_85902,0,8,0,1569,510,1133,82.46,32.8738860844,-117.20854418299999,ROBBERY
2011_86266,0,12,2,2260,4672,3706,41.23,32.7265131373,-117.14965146899999,ROBBERY
2012_86479,0,3,0,69,69,3507,120.0,32.8202930337,-117.174780106,ROBBERY
2012_86628,0,4,8,341,106,1439,0.0,32.7628913375,-117.12989322799999,ROBBERY
2011_86793,0,4,0,1030,152,2239,28.28,32.6865211868,-117.10192895,ROBBERY
2012_87050,0,1,0,1578,3875,3125,31.62,32.6681329973,-117.050514436,ROBBERY
2011_87284,1,4,0,832,620,4654,22.36,32.7546209973,-117.22072875100001,ROBBERY
2012_87822,0,1,2,1368,2022,3004,14.14,32.767576364600004,-117.14736229399999,ROBBERY
2011_87912,0,3,1,1095,1095,650,14.14,32.703466467,-117.117780989,ROBBERY
2011_88606,0,1,2,1368,2022,3004,14.14,32.767576364600004,-117.14736229399999,ROBBERY
2012_89027,0,9,1,1342,1846,4092,14.14,32.7041187962,-117.09342526,ROBBERY
2011_89119,1,3,0,2082,3990,1994,20.0,32.7608970699,-117.188253365,ROBBERY
2012_89285,0,4,1,673,638,1120,10.0,32.749375647600004,-117.142506293,ROBBERY
2011_89778,0,2,2,339,247,1032,22.36,32.91498143,-117.13139519,ROBBERY
2012_89961,0,3,0,850,850,2397,100.49,32.5787699722,-117.057004298,ROBBERY
2012_90157,0,2,1,1295,1412,545,63.24,32.7477831714,-117.075642894,ROBBERY
2011_90191,0,2,0,280,279,527,53.85,32.754346887800004,-117.140065283,ROBBERY
2012_90414,0,3,0,1195,925,3417,44.72,32.7243419765,-117.077492305,ROBBERY
2011_90532,0,2,0,556,905,1354,120.0,32.7697391539,-117.167529465,ROBBERY
2011_90809,1,3,0,178,177,1652,82.46,32.769130616300004,-117.170629781,ROBBERY
2011_90879,0,4,4,180,489,372,14.14,32.7126228395,-117.151160869,ROBBERY
2011_90881,0,1,0,20000,2002,20000,120.0,33.0895936149,-116.97727814299999,ROBBERY
2012_90962,0,1,1,3069,2586,3467,92.19,32.7612323126,-117.219165983,ROBBERY
2011_91033,0,5,1,83,83,2685,14.14,32.7461460025,-117.059663145,ROBBERY
